,Count
coronavirus,101
ausgangsbeschränkung,2
mensch,107
corona,152
ausgangssperre,1
krise,22
land,61
bundesregierung,2
ausbreitung,2
betretungsverbot,1
versammlungsverbot,1
endspiel,1
hilfspaket,2
zahl,80
hilfsmaßnahme,1
bundeskabinett,1
pandemie,93
landsleute,1
milliarde,3
verschiebung,1
angabe,6
april,5
billion,1
lungenkrankheit,3
weltwirtschaft,2
epidemie,1
miete,1
infektion,26
mietzahlung,1
infizierung,1
demenzkranke,1
tote,1
tierart,1
kontaktsperre,1
pflegeheim,1
leitung,1
schießbefehl,2
elite,1
gehaltskürzung,1
tracking,1
waffengewalt,1
geisel,1
arbeitslosenhilfe,1
haustier,1
katze,1
bundeswehr,1
hund,2
atemmasken,1
marshall,1
krankenhaus,1
ap,4
tag,13
stichtag,1
tiger,1
zoo,2
premierminister,1
krisenkabinett,1
ethikrat,1
thomas,1
patienten,1
bonds,1
st,1
fraktion,2
welttag,1
us,3
bafög,1
kriterium,1
präsident,4
verdopplung,1
finanzminister,1
siedlung,2
gefängnis,1
folge,1
lockerung,7
leben,1
schule,5
mai,7
verkaufsfläche,2
abschlussklassen,1
festival,1
geschäft,2
rock,1
oper,1
beitrag,1
krankenversicherung,1
praxis,1
reproduktionsrate,1
bundesland,2
museumsbund,1
kreuzfahrtschiff,1
heil,1
bundesverfassungsgericht,1
flüchtlingslager,1
cookinseln,1
kläger,1
mediumenhaus,1
nettoeinbuß,1
ferientourismus,1
laborleiter,1
yuan,1
mundschutz,1
lösung,1
konzentrationslager,1
autokino,1
ölpreis,1
familie,1
band,1
fu,1
konvention,1
einwanderung,1
kinderschutzbund,1
nahverkehr,1
tragen,1
mund,2
verfügung,1
nasen,1
medikament,1
abfindungssumme,1
asylbewerber,1
euro,7
gipfel,1
oberbürgermeister,1
spielplatz,1
infektionswelle,1
einschränkung,1
veröffentlichung,1
wunder,1
desinfektionsmittel,1
stuhl,1
klimaschutz,1
reproduktionszahl,2
persönlichkeitsrecht,1
prozent,15
wirtschaft,1
beschlussvorlage,1
woche,22
führerscheinprüfung,1
sport,1
university,1
geberkonferenz,1
kaufprämie,2
