,Count
sagen,57
virus,29
müssen,52
ja,26
grippe,1
fall,3
schon,45
iran,1
kind,11
natürlich,11
atemschutzmasken,1
ganz,24
italien,2
immer,4
attack,1
mal,36
patient,9
entlassen,1
gehen,7
geben,51
antigenetisch,1
antikörper,10
moment,1
besorgt,1
niedergelassen,1
labordiagnostik,1
pragmatisch,1
zuhause,1
sowas,1
henning,1
förmige,1
korinna,1
influenza,3
gesellschaft,1
inzidenzkurve,1
linker,1
veranstaltung,2
versammlung,1
planungsebene,1
hysterie,1
pandemisch,1
wochenende,2
gesundheitsminister,1
pneumokokken,1
verzichtbar,1
impfung,1
kommen,3
krankenhaus,1
medikament,4
veranstalter,1
absagen,1
situation,1
schlecht,1
test,6
gut,5
klein,1
testsituation,1
kultusminister,1
kneipe,1
woche,1
mehr,2
freund,1
ministerium,1
sollen,1
meter,1
tropfen,1
beispiel,6
neutralisierend,1
maske,5
coronaviren,1
coronavirus,1
haushaltsquarantäne,1
substanz,3
chloroquin,3
ausgangssperren,1
öffentlichkeit,1
schicken,1
begutachtungsprozeß,1
verschwendet,1
abstrich,3
binden,1
tupfer,1
rna,1
protease,1
unikliniken,1
masern,1
forschung,1
wissenschaft,1
wirklich,1
durchschnittsalter,1
entscheidung,1
rezeptor,1
eben,1
usa,1
groß,1
impfstoff,5
immunantwort,1
ansatz,1
ap,2
symptom,3
studie,7
modell,1
tröpfchen,1
mikrometer,1
luft,1
luftübertragung,1
minute,1
hopkins,1
kalenderwoche,1
serokonversion,1
antikörpertest,2
zahl,2
datenspende,1
apps,1
handy,1
brockmann,1
nutzer,1
gerät,1
igg,1
gangelt,3
schweden,1
spezifität,1
270,1
frankreich,1
sehen,2
untersuchung,1
totimpfstoff,1
märz,1
viele,1
tier,1
nagetier,1
infektion,1
autophagie,1
niclosamid,1
erwachsene,4
schule,4
genau,2
as,1
viruskonzentration,1
schüler,1
positiv,1
aerosol,2
mutation,3
wirtschaft,1
kawasaki,1
syndrom,1
h1n1,1
wirkverstärker,1
damals,1
2009,1
h3n2,1
pandemie,1
haushalt,1
prozent,1
superspreading,1
zehn,1
cluster,4
event,1
dispersionsfaktor,1
dispersion,1
folgefall,1
sars,1
erkrankungsbeginn,1
situationsbericht,1
japan,1
what,1
maschine,1
viruslast,1
reduktion,1
nase,1
population,1
zelle,2
viruspopulation,1
oxford,1
basingstoke,1
iga,1
blutgruppe,1
ig,1
jena,1
maskenpflicht,1
neuropilin,1
öffnen,1
vielleicht,1
flugzeug,1
spinath,1
kluge,1
chanasit,1
schmidt,1
buyx,1
eichler,1
greiner,1
frau,2
addo,1
kriegel,1
aerosole,1
wieler,1
ciesek,1
muntau,1
einfach,4
asymptomatisch,1
flug,1
präsymptomatisch,1
schnupfen,1
afrikanisch,1
afrika,1
südafrika,1
seroprävalenz,1
pc,1
ct,1
speichel,1
zellen,1
reagieren,1
gedächtnis,1
vitamin,1
remdesivir,1
trump,1
zulassung,1
zink,1
phase,1
pflegekraft,1
intensivstation,1
dengue,1
trägervirus,1
immunzellen,1
aspirin,1
autoantikörper,1
schwanger,1
risiko,1
dänemark,1
level,1
inzidenz,1
antigentests,1
antigentest,1
ambulanz,1
long,1
covid,1
tag,1
sporadisch,1
leopoldina,1
