,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-02-26,virus,fall,grippe,kind,reisewarnung,virusgrippe,grunderkrankung,erkältungsviren,frage,cluster
2020-02-27,virus,atemschutzmasken,attack,frage,basenpaare,kultur,probe,kontaktübertragung,türklinke,patient
2020-02-28,virus,patient,desinfektionsmittel,fall,zeit,tag,behörde,probe,viruskonzentration,zahl
2020-03-02,virus,fall,antikörper,patient,zahl,frage,jahr,insider,pandemie,prozent
2020-03-03,moment,labordiagnostik,virus,hausarzt,geldstück,heterogenität,fall,kollege,teil,tag
2020-03-04,virus,infektionswelle,haustier,tier,beispiel,hund,patient,bescheid,these,viruserkrankung
2020-03-05,förmige,achse,veranstaltung,gesellschaft,fußball,kurve,großstadtgebiet,moment,überlegung,inzidenzkurve
2020-03-09,versammlung,hysterie,planungsebene,wochenende,virus,richtliniensetzung,vergnügen,kraft,gesundheitsminister,pandemieplanung
2020-03-10,influenza,pneumokokken,heimisolierung,lunge,impfung,krankenhaus,prozent,großveranstaltung,bakterie,saison
2020-03-11,veranstalter,medikament,veranstaltung,situation,budget,regresspflicht,auflage,moment,entscheidungsträger,leben
2020-03-12,test,testsituation,virus,schulschließung,kultusminister,problem,vorschlag,probe,krankenhaus,personal
2020-03-13,kneipe,woche,freund,ministerium,virus,immunschwächen,bier,virologe,moment,atemnot
2020-03-16,virus,meter,wochenende,tropfen,beispiel,oberfläche,kunststoff,pandemieplan,moment,substanz
2020-03-17,antikörper,patient,virus,maske,abteilung,woche,zelle,zellen,labor,impfstoff
2020-03-18,coronaviren,coronavirus,test,annahme,schätzung,zahl,drittel,privatrechnung,todesfall,fall
2020-03-19,maske,substanz,virus,patient,medikament,chloroquin,labor,malaria,zellkultur,zahnarzt
2020-03-20,virus,ausgangssperren,beispiel,klimaanlage,ausgangssperre,probe,woche,sequenzierung,kiste,schätzung
2020-03-23,maske,kind,öffentlichkeit,geste,respirationstrakt,straße,überlegung,frühphase,argument,kommentar
2020-03-24,verstorben,begutachtungsprozeß,land,symptombeginn,server,fall,tag,maske,modellierer,woche
2020-03-25,antikörper,test,virus,abstrich,tupfer,gaumensegel,serum,elisa,patient,tag
2020-03-26,substanz,medikament,virus,protease,patient,polymerase,rna,lunge,use,zelle
2020-03-27,unikliniken,patient,forschung,behandlung,masern,fließschnupfen,vernetzung,husten,tätigkeit,epidemie
2020-03-30,wissenschaft,durchschnittsalter,wissenschaftler,politik,entscheidung,maske,kraft,szenario,zeit,wochenende
2020-03-31,virus,rezeptor,mobiltelefon,supermarkt,beispiel,krankheitsverlauf,maske,datenbanken,expressionsmuster,zeitfenster
2020-04-02,impfstoff,virus,immunantwort,ansatz,beispiel,protein,antikörper,impfstoffentwicklung,abkürzung,gestalt
2020-04-03,ap,symptom,studie,generationszeit,modell,übertragung,epidemie,übertragungstätigkeit,prozent,vitamin
2020-04-06,tröpfchen,mikrometer,virus,maske,luft,luftübertragung,minute,raumluft,patient,studie
2020-04-07,antikörper,serokonversion,antikörpertest,zahl,reagenzi,kalenderwoche,erkältungs,antikörperteste,woche,land
2020-04-08,datenspende,ap,handy,nutzer,gerät,apps,fitness,datum,mobilität,grenze
2020-04-14,igg,patient,eimer,goldfische,beispiel,virus,studie,antikörper,entlassung,planschbecken
2020-04-16,maske,virus,maßnahme,beispiel,fallsterblichkeit,pflicht,übersterblichkeit,entscheidung,nachlauf,tracking
2020-04-20,studie,gangelt,spezifität,frage,freiwilligen,kind,maßnahme,ort,virus,auswuchs
2020-04-22,virus,spreizung,zahl,seniorenwohnheimen,untersuchung,infektionssterblichkeit,übertragungspaar,studie,zellkulturen,beobachtungsstudium
2020-04-24,totimpfstoff,märz,impfstoff,nagetier,fall,tier,produktionsanlage,virus,antikörper,hintergrundimmunität
2020-04-28,kind,autophagie,infektion,viruskonzentration,substanz,virus,erwachsene,patient,aerosol,medikament
2020-04-30,kind,erwachsene,viruskonzentration,schule,kindergarten,studie,datum,lebensjahr,ferienzeit,symptom
2020-05-05,schüler,studie,schule,gangelt,zahl,kind,infektionssterblichkeit,prozent,kita,sterblichkeitsrate
2020-05-07,test,antikörper,patient,abstrich,antikörpertest,speichelprobe,labor,virus,ergebnis,pc
2020-05-12,virus,aerosol,beispiel,mutation,hauptvirus,molekülstruktur,unsinn,baum,verschwörungstheorie,tröpfchen
2020-05-14,wirtschaft,kawasaki,syndrom,niere,beispiel,studie,behandlung,annahme,patient,reproduktionsziffer
2020-05-19,h1n1,virus,wirkverstärker,impfstoff,vorwurf,grippe,pandemie,schlachthof,schweinegrippe,influenza
2020-05-26,kind,aerosol,haushalt,twitter,prozent,epidemie,luftumsatz,tröpfchen,tröpfcheninfektion,studie
2020-05-28,superspreading,cluster,dispersionsfaktor,dispersion,event,folgefall,streuparameter,wert,fall,verteilung
2020-06-02,cluster,erkrankungsbeginn,situationsbericht,medikament,beispiel,menschenansammlung,inzidenz,auswertungsfenster,schnupfen,familienfeiern
2020-06-04,kind,studie,erwachsene,maschine,gerät,viruslast,ausbreitungsrate,reduktion,schule,virus
2020-06-09,virus,nase,mutation,patient,population,zelle,bottleneck,viruspopulation,lunge,evolution
2020-06-11,blutgruppe,iga,ig,antikörper,maskenpflicht,studie,patient,maske,virus,erkrankung
2020-06-23,schule,flugzeug,wissenschaft,cluster,welle,ausbruch,zeit,schüler,situation,podcast
2020-06-24,kind,virus,erwachsene,neuropilin,studie,zelle,motiv,schule,studium,rezeptor
2020-07-16,ungewissheit,krise,sprache,stimmungswandel,herr,bürger,bürgerinnen,prof,gesellschaft,frau
2020-08-06,impfstoff,frau,sicht,verteilung,druck,impfung,preis,geld,phase,herr
2020-08-27,frau,kind,aerosole,raum,schule,tröpfchen,maske,luftqualität,mensch,partikel
2020-09-01,cluster,amtsarzt,chip,familienverband,infektion,metallkugel,tag,virus,beispiel,gitter
2020-09-08,symptom,flug,beispiel,kind,asymptomatischen,husten,viruslast,fieber,schnupfen,virus
2020-09-15,seroprävalenz,land,beispiel,zahl,prozent,test,bevölkerung,virus,blutspender,todesfall
2020-09-22,test,virus,abstrich,pc,beispiel,hülle,labor,ct,patient,seife
2020-09-29,zellen,gedächtnis,virus,infektionssterblichkeit,zelle,schule,gedächtniszelle,cd4,sars,immungedächtnis
2020-10-06,vitamin,medikament,zink,phase,antikörper,patient,remdesivir,virus,zulassung,erkrankung
2020-10-13,virus,cluster,sars,mutation,infektion,haushalt,zusammenhalt,studie,erkältungs,kontakt
2020-10-20,pflegekraft,virus,intensivstation,beispiel,kipppunkt,seife,patient,bett,betreuung,verhalten
2020-10-27,virus,antikörper,tracing,trägervirus,gruppe,dengue,immunzellen,infektion,impfstoff,circuit
2020-11-03,aspirin,autoantikörper,patient,infektion,re,risiko,beispiel,prozent,studie,frau
2020-11-10,virus,mutation,antikörper,cluster,fall,veränderung,frage,serum,mensch,nerzen
2020-11-17,kind,studie,impfstoff,level,beispiel,inzidenz,schule,maßnahme,infektion,frage
