,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-03-20,märz,ausgangsbeschränkung,ausgangssperre,coronavirus,mensch,betretungsverbot,notfallregelung,bundesregierung,rückholaktion,schuldenbremse
2020-03-21,mieter,coronavirus,sommersemester,lehre,todesopfer,milliarde,uniklinik,moschee,euro,angabe
2020-03-22,märz,versammlungsverbot,strompreis,ausgehbeschränkung,krise,alarm,handy,entwicklung,pence,mensch
2020-03-23,hilfspaket,endspiel,nachtragshaushalt,krise,bundeskabinett,milliarde,coronavirus,mensch,schnellverfahren,euro
2020-03-24,märz,landsleute,spiel,coronavirus,verschiebung,fackel,lagern,französin,verdacht,entwicklung
2020-03-25,corona,coronavirus,krise,epidemie,pandemie,klinikleitung,rom,mensch,wohnzimmer,milliarde
2020-03-26,märz,lungenkrankheit,entwicklung,newsblog,coronavirus,angabe,mensch,musik,19die,zahl
2020-03-27,coronavirus,epidemie,erdkreis,linderung,april,segen,personal,förderbank,schutzkleidung,mensch
2020-03-28,märz,newsblog,entwicklung,19die,mietzahlung,verdopplungszeit,mensch,miete,zahl,podcast
2020-03-29,tierart,infizierung,zahl,charité,infektion,tote,wahl,bewohner,team,erreger
2020-03-30,märz,newsblog,entwicklung,19die,mensch,mittwoch,coronavirus,wirtschaftsweis,corona,erntehelfer
2020-03-31,tragen,pflegeheim,mundschutz,schal,schwellenland,familienmitglied,coronavirus,kontaktsperre,präsident,schutzes
2020-04-01,19die,newsblog,märz,entwicklung,elite,tracking,saisonarbeitskräfte,april,corona,covid
2020-04-02,schießbefehl,19die,gehaltskürzung,waffengewalt,newsblog,levit,coronavirus,nato,durchsetzung,ärger
2020-04-03,corona,coronavirus,mensch,arbeitslosenhilfe,krise,arbeitslosenquote,geisel,pandemie,lungenkrankheit,zuspitzung
2020-04-04,zaun,coronavirus,absperrung,paar,zahl,sprache,atemschutzmasken,mensch,tote,flugzeug
2020-04-05,19die,newsblog,haustier,corona,märz,krise,katze,entwicklung,hund,bundeswehr
2020-04-06,19die,newsblog,märz,coronavirus,entwicklung,krankenhaus,april,corona,covid,ap
2020-04-07,19die,newsblog,corona,covid,märz,april,entwicklung,ethikrat,krise,thomas
2020-04-08,19die,newsblog,april,entwicklung,corona,märz,covid,fraktion,us,welttag
2020-04-09,19die,newsblog,corona,siedlung,finanzminister,entwicklung,krise,klimawandel,april,ausbreitung
2020-04-10,corona,gefängnis,krise,hilfspaket,wärter,achtung,karfreitag,pandemie,leiden,coronavirus
2020-04-11,19die,newsblog,entwicklung,covid,märz,corona,april,krise,bildungsabschluss,fußfesseln
2020-04-12,coronavirus,corona,lungenkrankheit,besatzungsmitglied,flugzeugträger,ausbreitung,ostermesse,leben,mensch,ritual
2020-04-13,19die,newsblog,akademie,entwicklung,april,wissenschaft,covid,corona,krippe,stellungnahme
2020-04-14,corona,zeitplan,lockerung,zahl,sonderparteitag,schule,pandemie,jahr,bundesparteitag,vertretung
2020-04-15,land,corona,mai,schule,lockerung,nato,bund,beratung,verkaufsfläche,geschäft
2020-04-16,festival,rock,corona,pandemie,coronavirus,flugplan,großveranstaltung,ring,mai,festivals
2020-04-17,oper,beitrag,krankenversicherung,coronavirus,praxis,corona,reproduktionsrate,bundesland,mensch,museumsbund
2020-04-18,kreuzfahrtschiff,heil,corona,mensch,demonstration,flüchtlingslager,mai,cookinseln,mediumenhaus,nettoeinbuß
2020-04-19,corona,mensch,pandemie,bündnis,familie,ab,mundschutz,lösung,blau,ferientourismus
2020-04-20,corona,autokino,band,pandemie,krise,terminbörse,mensch,hashtag,pegida,ölpreis
2020-04-21,tragen,corona,nahverkehr,kinderschutzbund,mund,verfügung,nasen,medikament,bundesliga,form
