,0,1,2,3,4,5,6,7,8,9
0,sagen,virus,müssen,ja,grippe,fall,schon,iran,kind,natürlich
1,virus,sagen,ja,atemschutzmasken,ganz,müssen,schon,italien,immer,attack
2,sagen,ja,virus,mal,patient,schon,müssen,entlassen,ganz,gehen
3,virus,mal,müssen,ja,schon,fall,geben,antigenetisch,antikörper,sagen
4,geben,mal,moment,besorgt,sagen,müssen,schon,niedergelassen,labordiagnostik,pragmatisch
5,virus,zuhause,schon,müssen,ja,mal,sagen,geben,ganz,sowas
6,henning,sagen,förmige,korinna,müssen,influenza,gesellschaft,inzidenzkurve,linker,veranstaltung
7,müssen,geben,sagen,versammlung,planungsebene,hysterie,pandemisch,wochenende,virus,gesundheitsminister
8,influenza,müssen,sagen,pneumokokken,gehen,verzichtbar,impfung,geben,kommen,krankenhaus
9,müssen,italien,medikament,veranstalter,veranstaltung,sagen,absagen,situation,geben,schlecht
10,test,gehen,schon,gut,müssen,sagen,klein,testsituation,virus,kultusminister
11,kneipe,woche,sagen,natürlich,immer,mal,mehr,freund,ministerium,geben
12,virus,geben,müssen,sollen,sagen,meter,natürlich,wochenende,tropfen,beispiel
13,antikörper,patient,neutralisierend,sagen,mal,virus,maske,geben,natürlich,müssen
14,sagen,ja,coronaviren,coronavirus,müssen,schon,gehen,test,geben,haushaltsquarantäne
15,müssen,maske,substanz,sagen,ja,ganz,chloroquin,schon,geben,virus
16,ja,geben,virus,müssen,gut,schon,sagen,ausgangssperren,beispiel,ganz
17,maske,ja,natürlich,kind,geben,schon,sagen,öffentlichkeit,ganz,mal
18,schon,ja,natürlich,müssen,mal,geben,sagen,schicken,begutachtungsprozeß,verschwendet
19,antikörper,schon,müssen,test,virus,mal,abstrich,binden,ja,tupfer
20,substanz,medikament,virus,geben,rna,protease,chloroquin,schon,sagen,müssen
21,unikliniken,masern,patient,sagen,ja,ganz,geben,schon,forschung,mal
22,ja,müssen,sagen,wissenschaft,mal,wirklich,natürlich,durchschnittsalter,schon,entscheidung
23,virus,geben,ja,sagen,rezeptor,schon,eben,usa,groß,natürlich
24,impfstoff,geben,schon,immunantwort,ganz,virus,ansatz,müssen,sagen,natürlich
25,ap,sagen,schon,chloroquin,symptom,studie,modell,kommen,mal,müssen
26,tröpfchen,mikrometer,virus,geben,maske,luft,sagen,luftübertragung,mal,minute
27,ja,schon,hopkins,antikörper,kalenderwoche,ganz,serokonversion,antikörpertest,sagen,zahl
28,datenspende,apps,ap,ja,handy,brockmann,ganz,nutzer,schon,gerät
29,mal,geben,schon,immer,sagen,igg,antikörper,patient,studie,gangelt
30,schon,müssen,geben,sagen,maske,natürlich,virus,ja,mal,ganz
31,studie,gangelt,schweden,schon,müssen,geben,mal,sagen,spezifität,ganz
32,virus,270,mal,sagen,schon,müssen,geben,frankreich,sehen,untersuchung
33,geben,totimpfstoff,märz,schon,impfstoff,müssen,viele,tier,fall,nagetier
