Count,word,not
56,virus,#6299ff
10,fall,#6299ff
2,grippe,#6299ff
19,kind,#6299ff
1,reisewarnung,#6299ff
1,virusgrippe,#6299ff
1,grunderkrankung,#6299ff
1,erkältungsviren,#6299ff
6,frage,#6299ff
7,cluster,#6299ff
1,atemschutzmasken,#6299ff
1,attack,#6299ff
1,basenpaare,#6299ff
1,kultur,#6299ff
4,probe,#6299ff
1,kontaktübertragung,#6299ff
1,türklinke,#6299ff
27,patient,#6299ff
1,desinfektionsmittel,#6299ff
3,zeit,#6299ff
9,tag,#6299ff
1,behörde,#6299ff
3,viruskonzentration,#6299ff
9,zahl,#6299ff
19,antikörper,#6299ff
1,jahr,#6299ff
1,insider,#6299ff
3,pandemie,#6299ff
19,prozent,#6299ff
6,moment,#6299ff
1,labordiagnostik,#6299ff
1,hausarzt,#6299ff
1,geldstück,#6299ff
1,heterogenität,#6299ff
1,kollege,#6299ff
1,teil,#6299ff
1,infektionswelle,#6299ff
1,haustier,#6299ff
2,tier,#6299ff
23,beispiel,#6299ff
1,hund,#6299ff
1,bescheid,#6299ff
2,these,#6299ff
1,viruserkrankung,#6299ff
1,förmige,#6299ff
1,achse,#6299ff
2,veranstaltung,#6299ff
2,gesellschaft,#6299ff
1,fußball,#6299ff
1,kurve,#6299ff
1,großstadtgebiet,#6299ff
2,überlegung,#6299ff
1,inzidenzkurve,#6299ff
1,versammlung,#6299ff
1,hysterie,#6299ff
1,planungsebene,#6299ff
3,wochenende,#6299ff
1,richtliniensetzung,#6299ff
1,vergnügen,#6299ff
2,kraft,#6299ff
1,gesundheitsminister,#6299ff
1,pandemieplanung,#6299ff
2,influenza,#6299ff
1,pneumokokken,#6299ff
1,heimisolierung,#6299ff
3,lunge,#6299ff
17,impfung,#6299ff
2,krankenhaus,#6299ff
1,großveranstaltung,#6299ff
1,bakterie,#6299ff
1,saison,#6299ff
1,veranstalter,#6299ff
7,medikament,#6299ff
2,situation,#6299ff
1,budget,#6299ff
1,regresspflicht,#6299ff
1,auflage,#6299ff
1,entscheidungsträger,#6299ff
1,leben,#6299ff
9,test,#6299ff
1,testsituation,#6299ff
1,schulschließung,#6299ff
1,kultusminister,#6299ff
1,problem,#6299ff
1,vorschlag,#6299ff
1,personal,#6299ff
1,kneipe,#6299ff
9,woche,#6299ff
1,freund,#6299ff
1,ministerium,#6299ff
1,immunschwächen,#6299ff
1,bier,#6299ff
1,virologe,#6299ff
1,atemnot,#6299ff
1,meter,#6299ff
1,tropfen,#6299ff
1,oberfläche,#6299ff
1,kunststoff,#6299ff
1,pandemieplan,#6299ff
4,substanz,#6299ff
10,maske,#6299ff
1,abteilung,#6299ff
7,zelle,#6299ff
5,zellen,#ff503c
4,labor,#6299ff
19,impfstoff,#6299ff
1,coronaviren,#6299ff
1,coronavirus,#6299ff
2,annahme,#6299ff
2,schätzung,#6299ff
1,drittel,#6299ff
1,privatrechnung,#6299ff
2,todesfall,#6299ff
1,chloroquin,#6299ff
1,malaria,#6299ff
