UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Markus Köss,@wetterkoess,2020-04-01T08:52:02.000Z,"Statt #Zugspitzblick bleibt es bis auf weiteres beim #Domblick 

#Köln #StayAtHome #COVID19 #notontour",,,,,9,['https://pbs.twimg.com/media/EUgY506XkAEKt1-?format=jpg&name=small'],https://twitter.com/wetterkoess/status/1245272699074723840
Ursula Mörs,@Mrsgugi,2020-04-01T17:55:51.000Z,"Das wurde aus wirtschaftlichen Gründen ignoriert- leider holt uns genau das jetzt ein!! #coronavirus #Pandemie #COVID19 #Science 
@BillGates
 @CDU_CSU_EP
 @CDU
 @spdbt
 @Die_Gruenen","Frankfurter Allgemeine
@faznet
 · 1. Apr. 2020
Bill Gates und Nassim Nicolas Taleb haben gewusst, was durch eine #Pandemie droht, wie wir sie nun erleben. Sie haben die Anfälligkeiten unserer Gesellschaft und Wirtschaft klar benannt. Warum hat keiner auf sie gehört?  https://buff.ly/3bJFTzu #COVIDー19",,,,,['https://pbs.twimg.com/profile_images/1206956128682332162/HPVzEVk8_mini.jpg'],https://twitter.com/Mrsgugi/status/1245409557934944256
Franz-Josef Baldus,@snackcontent_de,2020-04-01T12:20:51.000Z,"Ich bin ja kein Freund von Verschwörungstheorien, aber ich hab genau denselben Verdacht  #effzeh #COVID19","Von 
Oliver Kremer",😂 👟,1,1,9,['https://pbs.twimg.com/ext_tw_video_thumb/1245001195841818625/pu/img/Xcm_RZ358g-TesiC.jpg'],https://twitter.com/snackcontent_de/status/1245325252231680000
Carsten Fiedler,@carsten_fiedler,2020-04-01T19:39:26.000Z,"#Köln #koeln  #coronavirus #COVID19 #CoronaApp Um es vorsorglich mal ganz deutlich zu sagen! Kommentar zum Handy-Tracking: Grundrechte sind trotz Corona-Krise nicht verhandelbar (via 
@ksta_koeln
)","Kommentar zum Handy-Tracking: Grundrechte sind trotz Corona-Krise nicht verhandelbar | Kölner...
Liebe Leserinnen, liebe Leser,
ksta.de",,2,1,1,[],https://twitter.com/carsten_fiedler/status/1245435624280244224
Regamy,@DPRegamy,2020-04-01T09:13:16.000Z,#wirschaffendas #dankemerkel #COVID19 #dankefraumerkel,,,,,4,['https://pbs.twimg.com/media/EUgdxgzXsAAkWej?format=jpg&name=small'],https://twitter.com/DPRegamy/status/1245278042060132357
Oliver Neuroth,@ONeuroth,2020-04-02T11:17:41.000Z,"Andorra hat eine #exitstrategy: Die Regierung will die gesamte Bevölkerung auf das #Coronavirus testen, Infizierte isolieren und dann schnell zur Normalität zurückkehren. Gut, Andorra hat gerade einmal 77.000 Einwohner... #COVID19","Diari d'Andorra
@diariandorra
 · 2. Apr. 2020
El Govern vol iniciar els tests d'anticossos a tota la població en dues setmanes #coronavirus #quedatacasa #covid19 @GovernAndorra @saasandorra http://ow.ly/oNAE30quEgr",,,3,12,"['https://pbs.twimg.com/profile_images/1268435719246303234/o7F6LZYe_mini.jpg', 'https://pbs.twimg.com/media/EUlrPDeUEAIdn9g?format=jpg&name=small']",https://twitter.com/ONeuroth/status/1245671743743832064
Sep PietSmiet #FF6,@SepPietsmiet,2020-04-02T19:59:51.000Z,"Noch nie habe ich mich über 1.000.000 weniger gefreut als jetzt.. #COVID19

Irgendwie geht es im Moment weltweit viel zu schnell.. #StayAtHome",,🔥,8,5,527,[],https://twitter.com/SepPietsmiet/status/1245803150717698050
Sep PietSmiet #FF6,@SepPietsmiet,2020-04-02T05:50:39.000Z,"Ohne Witz, in der momentanen Lage bin ich irgendwie froh, dass gestern die Aprilscherze eher mau waren.. 

Viele Sachen zum Thema #Covid19 hätten bei einigen eher Panik hervorgerufen statt einem Lacher.",,🔥 👍,5,1,481,[],https://twitter.com/SepPietsmiet/status/1245589439658651651
Hamza BEKRI,@hamzathegunner,2020-04-02T02:14:43.000Z,"#Beard_Shaving_Challenge 
Make it alone,there is no Barbershop open  in this days because #COVID19  so do it alone ,without hurting yourself. ",,💪,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1245535028911751168/pu/img/WPODs6orK7EaOTNe.jpg'],https://twitter.com/hamzathegunner/status/1245535099438927873
Hamza BEKRI,@hamzathegunner,2020-04-02T02:14:43.000Z,"#Beard_Shaving_Challenge 
Make it alone,there is no Barbershop open  in this days because #COVID19  so do it alone ,without hurting yourself. ","0:23
98 Mal angezeigt",💪,,1,2,[],https://twitter.com/hamzathegunner/status/1245535099438927873
