UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Markus Köss,@wetterkoess,2020-04-01T08:52:02.000Z,"Statt #Zugspitzblick bleibt es bis auf weiteres beim #Domblick 

#Köln #StayAtHome #COVID19 #notontour",,,,,9,['https://pbs.twimg.com/media/EUgY506XkAEKt1-?format=jpg&name=small'],https://twitter.com/wetterkoess/status/1245272699074723840
Ursula Mörs,@Mrsgugi,2020-04-01T17:55:51.000Z,"Das wurde aus wirtschaftlichen Gründen ignoriert- leider holt uns genau das jetzt ein!! #coronavirus #Pandemie #COVID19 #Science 
@BillGates
 @CDU_CSU_EP
 @CDU
 @spdbt
 @Die_Gruenen","Frankfurter Allgemeine
@faznet
 · 1. Apr. 2020
Bill Gates und Nassim Nicolas Taleb haben gewusst, was durch eine #Pandemie droht, wie wir sie nun erleben. Sie haben die Anfälligkeiten unserer Gesellschaft und Wirtschaft klar benannt. Warum hat keiner auf sie gehört?  https://buff.ly/3bJFTzu #COVIDー19",,,,,['https://pbs.twimg.com/profile_images/1206956128682332162/HPVzEVk8_mini.jpg'],https://twitter.com/Mrsgugi/status/1245409557934944256
Franz-Josef Baldus,@snackcontent_de,2020-04-01T12:20:51.000Z,"Ich bin ja kein Freund von Verschwörungstheorien, aber ich hab genau denselben Verdacht  #effzeh #COVID19","Von 
Oliver Kremer",😂 👟,1,1,9,['https://pbs.twimg.com/ext_tw_video_thumb/1245001195841818625/pu/img/Xcm_RZ358g-TesiC.jpg'],https://twitter.com/snackcontent_de/status/1245325252231680000
Carsten Fiedler,@carsten_fiedler,2020-04-01T19:39:26.000Z,"#Köln #koeln  #coronavirus #COVID19 #CoronaApp Um es vorsorglich mal ganz deutlich zu sagen! Kommentar zum Handy-Tracking: Grundrechte sind trotz Corona-Krise nicht verhandelbar (via 
@ksta_koeln
)","Kommentar zum Handy-Tracking: Grundrechte sind trotz Corona-Krise nicht verhandelbar | Kölner...
Liebe Leserinnen, liebe Leser,
ksta.de",,2,1,1,[],https://twitter.com/carsten_fiedler/status/1245435624280244224
Shiv Ranjan,@ShivRanjanIND,2020-04-01T17:38:21.000Z,"#IndiaFightsCorona
Mitigating economic hardships during COVID-19
via NaMo App",,,,,,['https://pbs.twimg.com/media/EUiRYOKWoAASV8A?format=jpg&name=small'],https://twitter.com/ShivRanjanIND/status/1245405150472273920
Shiv Ranjan,@ShivRanjanIND,2020-04-01T17:38:40.000Z,"#IndiaFightsCorona
India’s efforts to fight COVID-19
https://youtube.com/watch?v=McjZzHo3d6A…
via NaMo App",,,,,,[],https://twitter.com/ShivRanjanIND/status/1245405233838272514
Shiv Ranjan,@ShivRanjanIND,2020-04-01T17:40:36.000Z,"#IndiaFightsCorona
The armed forces has been working relentlessly to provide medical and logistics support to fight COVID-19.  Isolation wards at peripheral hospitals have been activated at Army formations along Line of Control and Line of Actual Control too. 
via NaMo App",,,,,,[],https://twitter.com/ShivRanjanIND/status/1245405720406904835
Jojo,@jojofrancener,2020-04-01T20:02:06.000Z,I have a mix of nausea and heartburn every time some asshole posts something about the challenge of cash flow in times of covid-19 on LinkedIn,,,1,,2,[],https://twitter.com/jojofrancener/status/1245441327673806853
Regamy,@DPRegamy,2020-04-01T09:13:16.000Z,#wirschaffendas #dankemerkel #COVID19 #dankefraumerkel,,,,,4,['https://pbs.twimg.com/media/EUgdxgzXsAAkWej?format=jpg&name=small'],https://twitter.com/DPRegamy/status/1245278042060132357
ich verlier meinen verSTANd(ceo of fare-dodging),@st_anarchy,2020-04-02T06:01:34.000Z,Ich spiele mit 'Covid 19 Yasuo' und 'Ketamin Kay' das kann ja nur gut werden,,,,,5,['https://pbs.twimg.com/media/EUk7eSiUEAA0Fj-?format=jpg&name=small'],https://twitter.com/st_anarchy/status/1245592187200401410
